,mean_Nodes,mean_SomaSurface,mean_Stems,mean_Bifurcations,mean_Branches,mean_Tips,mean_OverallWidth,mean_OverallHeight,mean_OverallDepth,mean_AverageDiameter,mean_Length,mean_Surface,mean_Volume,mean_MaxEuclideanDistance,mean_MaxPathDistance,mean_MaxBranchOrder,mean_AverageContraction,mean_AverageFragmentation,mean_AverageParent-daughterRatio,mean_AverageBifurcationAngleLocal,mean_AverageBifurcationAngleRemote,mean_HausdorffDimension,mean_mean_Nodes,mean_mean_SomaSurface,mean_mean_Stems,mean_mean_Bifurcations,mean_mean_Branches,mean_mean_Tips,mean_mean_OverallWidth,mean_mean_OverallHeight,mean_mean_OverallDepth,mean_mean_AverageDiameter,mean_mean_Length,mean_mean_Surface,mean_mean_Volume,mean_mean_MaxEuclideanDistance,mean_mean_MaxPathDistance,mean_mean_MaxBranchOrder,mean_mean_AverageContraction,mean_mean_AverageFragmentation,mean_mean_AverageParent-daughterRatio,mean_mean_AverageBifurcationAngleLocal,mean_mean_AverageBifurcationAngleRemote,mean_mean_HausdorffDimension,mean_median_Nodes,mean_median_SomaSurface,mean_median_Stems,mean_median_Bifurcations,mean_median_Branches,mean_median_Tips,mean_median_OverallWidth,mean_median_OverallHeight,mean_median_OverallDepth,mean_median_AverageDiameter,mean_median_Length,mean_median_Surface,mean_median_Volume,mean_median_MaxEuclideanDistance,mean_median_MaxPathDistance,mean_median_MaxBranchOrder,mean_median_AverageContraction,mean_median_AverageFragmentation,mean_median_AverageParent-daughterRatio,mean_median_AverageBifurcationAngleLocal,mean_median_AverageBifurcationAngleRemote,mean_median_HausdorffDimension,std_Nodes,std_SomaSurface,std_Stems,std_Bifurcations,std_Branches,std_Tips,std_OverallWidth,std_OverallHeight,std_OverallDepth,std_AverageDiameter,std_Length,std_Surface,std_Volume,std_MaxEuclideanDistance,std_MaxPathDistance,std_MaxBranchOrder,std_AverageContraction,std_AverageFragmentation,std_AverageParent-daughterRatio,std_AverageBifurcationAngleLocal,std_AverageBifurcationAngleRemote,std_HausdorffDimension,std_mean_Nodes,std_mean_SomaSurface,std_mean_Stems,std_mean_Bifurcations,std_mean_Branches,std_mean_Tips,std_mean_OverallWidth,std_mean_OverallHeight,std_mean_OverallDepth,std_mean_AverageDiameter,std_mean_Length,std_mean_Surface,std_mean_Volume,std_mean_MaxEuclideanDistance,std_mean_MaxPathDistance,std_mean_MaxBranchOrder,std_mean_AverageContraction,std_mean_AverageFragmentation,std_mean_AverageParent-daughterRatio,std_mean_AverageBifurcationAngleLocal,std_mean_AverageBifurcationAngleRemote,std_mean_HausdorffDimension,std_median_Nodes,std_median_SomaSurface,std_median_Stems,std_median_Bifurcations,std_median_Branches,std_median_Tips,std_median_OverallWidth,std_median_OverallHeight,std_median_OverallDepth,std_median_AverageDiameter,std_median_Length,std_median_Surface,std_median_Volume,std_median_MaxEuclideanDistance,std_median_MaxPathDistance,std_median_MaxBranchOrder,std_median_AverageContraction,std_median_AverageFragmentation,std_median_AverageParent-daughterRatio,std_median_AverageBifurcationAngleLocal,std_median_AverageBifurcationAngleRemote,std_median_HausdorffDimension
MFG,1709.6973684210527,384.681180263157,9.161184210526315,41.54276315789474,90.66776315789474,50.125,236.31069736842102,230.9466282894738,105.81941118421052,2.022275559210527,2889.352664473685,18747.365230263167,13475.458552631573,155.82763026315797,192.8772796052632,7.598684210526316,0.9104314802631578,17.86029042763158,1.0052302796052632,79.61390986842112,62.05094342105264,1.0993404934210527,1727.1721491228075,378.0757934210517,9.006030701754389,41.90624999999996,91.2620614035088,50.35581140350874,234.01972478070175,232.46556962719296,106.4412631578948,2.0242825548245618,2891.557770833336,18799.60652412281,13776.115542763153,156.24193415570176,191.8503614035087,7.648574561403507,0.9107856485745608,17.905018114035105,1.0052972138157894,79.90798322368425,61.85476403508773,1.0966963432017547,1716.4013157894738,331.81268157894664,8.962171052631579,41.8141447368421,91.04440789473684,50.2171052631579,234.19654605263182,232.85894572368426,106.18101315789474,2.01984476973684,2871.961726973686,18648.720016447376,13198.248865131587,155.44477138157905,191.02564967105263,7.582236842105263,0.9109286019736839,17.87781374999999,1.0039280394736843,79.94156398026325,61.77272154605264,1.0960843585526319,580.8427192859589,2178.5811518011624,2.23023180556384,11.983135024401069,24.474910982213704,12.592004640170913,44.99417537853006,43.91148309452833,22.34567979698639,0.135146798624918,963.1889472956733,7257.788117232287,30335.01907363075,25.841773247136906,32.95000576116546,1.9992073294564794,0.010006500579183177,4.129960728453296,0.11608470683121905,7.269088610095523,5.462593735014344,0.03106878364077758,621.0119054670796,1948.9882655543072,2.032433252552302,13.059273675900238,26.770788898303085,13.774586214307433,44.24480549423704,43.72455529021112,20.41448225689812,0.13444222684647705,1075.4315723107688,7777.58547354012,27348.42134717456,27.366231364555542,33.5826937393364,1.7877218901659337,0.008766106634741921,3.8600259469109024,0.0920082879885042,6.5364434169977965,4.801862898230008,0.02344445807959032,599.0976797094498,1782.400199193676,2.0297417019377177,12.644641591689439,25.82015423394593,13.232020749341173,43.93013971924057,42.877371414692796,20.236041444447835,0.11702032909808455,1033.9967735428822,7599.1837431765725,26786.993937602627,26.66485339766587,32.917770186270296,1.8002054145235107,0.008607782831641127,3.768082266431335,0.08699358861879226,6.478561900869126,4.711163017712291,0.024724114599698054
SFG,1542.9285714285713,1424.811457142857,9.0,40.642857142857146,88.5,48.857142857142854,211.04621428571429,227.7727857142857,92.92857142857143,2.1407035714285714,2513.094285714286,18179.39285714286,23794.412857142856,149.147,175.07999999999998,7.071428571428571,0.9102087857142855,16.297121428571426,1.0383507857142857,77.30955714285713,59.309564285714295,1.0911242857142858,1506.107142857143,1384.8966428571425,8.738095238095239,41.202380952380956,89.63095238095238,49.42857142857142,220.51188095238098,226.6822976190476,98.59967857142854,2.189550119047619,2600.4352380952378,18972.879880952383,28423.459880952378,150.8700738095238,180.21012142857145,7.273809523809524,0.9135734999999998,15.81554035714286,1.0815356904761904,76.59201428571428,59.32037976190476,1.086692738095238,1514.142857142857,1354.024771428571,8.75,40.535714285714285,88.03571428571429,48.607142857142854,217.48182142857144,227.44867857142862,96.46428571428571,2.142233571428571,2555.7653571428573,18502.910714285717,25507.112857142864,149.98767857142857,178.9855,7.214285714285714,0.9134817142857143,15.957192857142857,1.0587486428571429,77.419475,59.07627499999999,1.0877107142857145,639.0648774439239,2944.9999324999444,2.1838568563966754,15.102761555205943,30.129847200204853,15.114217162643934,32.54500263937158,47.55337235663745,18.023336520762722,0.267936733565885,925.197982735124,5364.161584709033,26619.799332290648,26.935951660302514,28.222134758159108,2.017778127403648,0.010130860971678209,2.7640916666806086,0.15396733900767529,8.677074640038036,6.260243042911249,0.029367608978990083,646.8292572732876,3284.601693437879,1.5928717893291149,16.89879105717741,33.91210222996619,17.04540370732789,46.13732139986914,53.488381857519364,19.045208447973742,0.39608042804367183,1098.5950457963252,6427.806430988128,38856.12752041269,32.18396081103949,37.47396488272984,1.7814417752300518,0.009135499359243323,2.7255996902653266,0.256214639029107,6.709415655768702,4.708936261369451,0.019099905418917686,597.1691046600113,3462.7563690973657,1.602282026457169,15.40037997247806,30.508803449366674,15.181185941599114,43.87874714422039,51.59341806098585,18.30244233987354,0.2873961263484772,1026.7857353419874,5881.683057666226,34460.85110411873,30.233549456120087,33.481882751376496,1.85756546332813,0.008735244236632793,2.5536545821518337,0.19697936722275772,6.97020300525883,4.410182061380146,0.02131066849627763
IPL,2263.4375,2431.590371428573,8.080357142857142,49.223214285714285,104.84821428571429,56.625,271.56110714285705,265.62477678571423,139.83125892857143,2.165334196428571,3938.435178571429,29710.621696428563,37979.19223214285,178.72847767857144,218.9860535714285,7.928571428571429,0.9145136875000002,20.87515178571429,0.9998478660714282,72.21586964285716,58.24447589285715,1.0881872321428576,2277.129464285713,2494.7940142857155,8.260416666666666,50.88839285714287,108.40773809523806,58.51934523809524,273.5294880952381,269.81057142857145,139.21623065476192,2.1657240029761895,4099.729910714287,30955.99669642858,41309.62010416664,179.55932276785717,219.97479196428566,7.879464285714283,0.9159098214285721,20.176749211309527,1.0116591517857139,72.45277872023811,57.933400595238076,1.089181875,2248.9598214285716,2241.0073607142867,8.178571428571429,49.92857142857143,106.34821428571429,57.47767857142857,271.86546428571427,268.4949017857142,138.15582142857141,2.147376830357143,4047.8090625000004,30277.436830357146,38256.684419642865,179.41533928571428,218.6840982142856,7.892857142857143,0.9156509955357147,20.023024999999997,1.005495410714286,72.61394866071429,57.91230625000002,1.088936205357143,792.5390123827651,2936.4517525400274,1.5719293983706886,18.399818752254877,37.10545231333382,18.74154464006357,54.123241010696425,52.79482327419357,29.249583842037,0.1793515361670331,1582.7822835798931,12832.539939637043,27202.031599442664,29.40265752417172,35.227506731780565,2.0476938719081494,0.011562625022284884,3.7763636876310054,0.17248745992620074,7.946502777338046,5.0273552373197585,0.0237000734483912,813.6301905299806,2680.413104532626,1.0646709111970465,19.243193463952906,38.70300818392986,19.475193347532674,52.776097284651094,50.001438524900635,27.36859894794573,0.17895067085574928,1658.1652307039271,13187.2060609649,28558.186408639842,29.666077660673885,34.45037172038725,1.697641569240073,0.010022674654057087,2.6546322850413357,0.21052503367615244,6.275229620363653,4.155125458983101,0.016440071099116143,825.38340296171,2314.7199344970595,1.1227723547619801,18.427463975583525,36.88012229109226,18.464037165156846,51.812717744756554,49.80578705059288,27.52690446667359,0.15947461532303636,1647.9875930286503,13012.727439827333,26833.896154195874,29.743297683378124,33.7889344874409,1.7737177470146275,0.009736814042613241,2.5750486943178585,0.19327137443340983,6.207998020268721,4.217501031395896,0.017673933945265067
IFG,913.25,4369.9491,8.75,27.25,61.75,35.5,170.0875,177.64100000000002,72.45275000000001,2.5654175,1571.8274999999999,17700.5,56962.025,121.35367499999998,145.62754999999999,6.5,0.91970975,13.581875,1.05793875,78.16057500000001,59.310674999999996,1.0699575,917.7083333333334,5211.604933333334,8.958333333333334,28.458333333333332,64.08333333333333,36.62500000000001,169.68266666666668,174.88912500000004,93.05970833333335,2.6709704166666666,1665.5295833333334,19219.6,69218.63333333333,120.88937916666666,146.53460833333335,6.083333333333333,0.9170971250000001,13.482909999999999,1.1329368333333334,74.74169166666668,60.08038333333334,1.0729187500000001,904.0,4887.436599999999,8.625,27.875,63.375,36.375,169.08950000000002,178.1885,91.0,2.5949050000000002,1617.22875,18844.675,62188.95,119.9405,150.67062499999997,6.125,0.91670025,13.3352625,1.099663125,75.9287625,59.1971875,1.07115625,295.75820642319746,4467.466653967911,2.217355782608345,3.8622100754188224,8.5,4.795831523312719,24.34644950843277,41.0011005787243,12.337176753617497,0.28584556685676743,425.5694022032912,3069.330312408012,19613.6455785889,22.380102843578854,34.63896777344845,0.5773502691896257,0.0058857772851171,3.3663966605011555,0.3849552801520154,9.394775383646307,4.782373079253294,0.01344196755191244,86.20457741133399,3906.2243672511745,0.6291528696058956,1.9358938982251,3.5184697852375564,1.6351180725290475,10.91067421958543,19.19601594340702,3.8227968609746745,0.36414821798012653,126.01030546755987,2593.2389081995484,29755.220024018938,10.590129397605713,13.91273353137667,0.7391185942027815,0.005693261792705233,1.2158442425647207,0.4802647209038295,5.290607346873929,2.1570373444972075,0.008949688322216353,66.65583245298194,3941.7683199371622,0.75,1.1086778913041726,2.462214450449026,1.4361406616345072,19.39545040295104,25.517379156175114,2.1213203435596424,0.2647763075692384,26.874886472628482,2288.7652306065243,18017.65509701526,12.549560908653335,15.481541258194111,0.75,0.005757706856900605,1.8667174671844866,0.4255529112300793,6.4761174913903226,1.6910575785461412,0.007728138386226467
STG,1882.7633587786258,282.6952122137427,9.114503816793894,42.732824427480914,93.12977099236642,51.396946564885496,238.9137709923665,241.23893129771,118.43216030534347,2.0155094656488552,3180.849923664121,20537.537251908398,14426.872977099236,164.82798473282452,200.10668702290076,7.251908396946565,0.9085850534351148,19.27020129770993,0.998945106870229,78.0255549618321,58.47674274809157,1.1319530534351145,1917.589058524173,314.8306534351166,9.077608142493636,42.96183206106868,93.52290076335875,51.561068702290086,236.83293002544536,239.11844274809158,119.27179007633586,2.021609694656488,3196.349335877865,20820.6146437659,15603.306666666664,164.4521016539441,199.8399860050891,7.300254452926209,0.9084359669211196,19.442831106870234,0.9979770330788804,78.43793066157758,58.98767964376589,1.1297499999999996,1893.6641221374045,260.967845801529,9.0,42.599236641221374,92.79389312977099,51.23664122137404,236.03643511450392,240.03977480916038,119.00715267175572,2.017255038167938,3160.9319847328265,20505.907328244273,14739.967519083972,163.86042748091612,198.76475190839685,7.244274809160306,0.9084267366412216,19.358913435114506,0.9973931603053434,78.6314278625954,58.911165267175534,1.1278735877862596,649.2711041214552,1540.558524344618,2.7558084709992965,12.507735715567213,26.174384702654173,13.795026634102024,72.10165515347224,71.70807310876626,33.98908739373153,0.10206452661326161,1044.7635346795696,8115.670146015533,27539.330079231855,29.25493251322948,37.109326815212036,1.6330411057541687,0.01523295231514837,4.622756799783403,0.019201266193926585,8.723835719146036,4.907667921952192,0.1396920305082859,658.8640685384102,1507.9127677045517,2.1938431437282877,12.179192092931979,25.299148353616204,13.198471908877625,70.2640105409528,69.68763931837141,29.024365312676,0.12723189473498686,1093.639509276252,8615.638885790202,32163.848492912126,27.30203862720473,35.21496996267085,1.3647609989768577,0.013449212180139733,4.144798328968067,0.012029819053395771,7.024065078310806,3.7755869751751647,0.1356101477993216,639.8348508156319,1522.6891769349302,2.134875244058141,11.421541699675064,23.713828343963197,12.425830454258586,69.3560694476864,69.95016413342523,30.274324960770937,0.11585143772305345,1048.1817474620368,8239.06342273243,31213.668083577555,26.478292989666535,34.66474691080118,1.3292079946832143,0.013419650993015387,4.040351194236997,0.015593629801111272,7.165443023020977,3.807881902908216,0.12736670167167355
MTG,1544.5833333333333,8512.662133333333,9.583333333333334,38.333333333333336,84.41666666666667,47.083333333333336,241.08425000000003,218.28041666666664,112.5,2.5782216666666664,2640.3016666666667,31398.250000000004,140957.98333333334,150.00233333333333,182.56216666666663,7.166666666666667,0.9073478333333331,17.35955,1.1436279999999999,75.96724166666665,60.515875,1.1098566666666667,1463.138888888889,9135.220883333332,9.861111111111109,36.958333333333336,81.95833333333333,46.0,224.7125833333333,214.97004166666662,113.83500000000002,2.7056408333333333,2624.9466666666667,32057.43527777778,153223.31194444446,149.15125000000003,181.80826388888886,7.041666666666665,0.9124664861111111,16.998569166666666,1.1372454027777779,75.30633055555556,60.38028472222222,1.1066718055555558,1444.5833333333333,9002.759633333333,9.916666666666666,36.791666666666664,81.125,45.625,227.4696666666667,216.92833333333337,110.5,2.6463037499999995,2565.0337499999996,30556.22499999999,145612.04708333334,146.78125000000003,177.10495833333334,6.833333333333333,0.9127421666666667,17.45895,1.1286872083333332,75.61573749999998,60.525491666666674,1.1064979166666669,286.6069396905593,6840.777072104848,1.8809249819912512,7.912399168776852,15.67544886023035,7.8792977690485415,30.569522448837837,34.99198466521449,14.469403455693547,0.35740723426654447,535.8426378540852,10714.42244440981,82428.04975170156,23.171096216596826,21.365872438555055,1.337115846843043,0.009685180909122161,1.7421281027420563,0.4772310184388498,5.881298043715788,5.49133298772215,0.028949949704253172,266.8921474119618,6812.0709198071845,1.5206214395074023,6.861959625281245,14.728884046407765,7.904416359213246,21.71158514462783,23.444107565894633,11.151322112130236,0.44416358641919035,578.8923473611767,13073.35536353043,98709.85421104595,15.196902902093456,16.461560115820113,0.7075530461607193,0.0064576601672469685,1.5561833218578505,0.42987744865117167,4.732564327479228,3.9874526989212367,0.02939935708822868,277.6000911492296,6688.000855217038,1.6353111093129722,7.717919919174328,16.09506559053539,8.458790478764465,22.29463605111138,28.04617496633764,12.800923262157163,0.39520767362998255,556.2274156932126,11835.989222830282,94299.15613828112,15.686025334528003,16.762370040792852,0.6513389472789296,0.006986273461494919,1.3414547667974637,0.4178122778185012,4.169029632307355,4.5056006345049635,0.03404286084938513
TP,1760.0804597701149,165.89042758620664,8.614942528735632,43.9080459770115,94.85057471264368,51.94252873563219,229.01047126436785,238.9324022988507,110.06613218390805,2.0153790229885047,2900.961367816093,18684.703908045958,12530.581149425285,156.83545114942532,189.30862068965519,8.091954022988507,0.9158719252873561,17.68073793103449,1.0014410919540229,79.36999999999998,60.24503218390805,1.0942597126436782,1730.5181992337175,197.3064206896561,8.551724137931034,43.395593869731805,93.81417624521069,51.41858237547889,230.82149233716478,235.00751149425295,108.03415038314172,2.0128470785440604,2885.5048199233734,18534.849971264368,11939.804808429111,155.38902203065138,188.8712624521072,7.934865900383143,0.914096462643678,17.494645000000006,0.9991991398467434,79.31917423371652,60.45789703065131,1.0919231321839076,1736.698275862069,165.42112758620664,8.511494252873563,43.247126436781606,93.51724137931035,51.275862068965516,230.53929310344824,235.16164080459762,107.81751436781612,2.011097183908046,2869.3603735632173,18365.083017241377,11428.101293103451,155.2415718390804,188.62288793103457,7.867816091954023,0.913893755747126,17.496550431034496,0.9988995775862068,79.3942640804598,60.35824109195404,1.0913003160919539,560.0375342167519,1274.8467739483997,2.3300017978921934,11.823003133558743,24.08344296609856,12.371752574984118,47.05313728112376,46.73668504114203,24.105114236331428,0.13579526030816141,1093.8071568826108,8469.391753688858,27555.132130807793,29.905280773818095,37.02876862586412,2.1213594937964046,0.009455021446568984,4.415096072294323,0.0334644929293782,7.615955831745498,4.774951024522479,0.02929335789355593,608.1410320974619,1258.3202248333562,1.8739690541590546,12.46507464095425,25.370028758523734,12.965540744239782,47.14522370193879,45.6482394013472,22.49715903794599,0.10176091642093289,1134.8040380552136,8121.615569837402,21804.82055530802,30.695960457763956,38.36521670251721,1.9803719446292274,0.007951330691360326,3.9487519998551943,0.009785999597647636,6.663581273213561,4.42215922218955,0.02078324386773614,598.7672109319145,1221.786598651299,1.9021998392099817,12.12778150283279,24.595977898067172,12.516753771449077,47.48513450727195,45.80278846042335,22.150141703798358,0.09828435009758525,1134.2157785251866,7925.294956989953,19579.358388201705,30.30562135815349,38.06719851265037,1.978876557142984,0.007765933729622328,3.8772518948874164,0.009151839885993381,6.589523965091883,4.397670727562039,0.02190043040166382
PL,1338.3846153846155,485.3223824175856,7.417582417582418,35.35164835164835,76.54945054945055,42.1978021978022,218.69251648351653,222.69836263736272,99.5607142857143,2.0555808791208796,2231.208351648351,14699.373626373625,13248.09846153846,152.4155835164835,185.96276923076917,7.714285714285714,0.9135915494505494,16.48019175824176,0.9966993186813186,79.3952923076923,60.71928351648353,1.0841963736263736,1312.0805860805863,485.9340073260104,7.415750915750918,35.21245421245422,76.39194139194142,42.17948717948718,219.85859890109893,221.0398736263737,98.52810805860803,2.0471711355311353,2269.5390476190473,15054.947948717954,13963.349578754578,151.00992637362637,183.5681227106227,7.5274725274725265,0.9143446978021977,16.202522344322343,0.9965411391941392,79.37371923076927,61.22623479853481,1.0812606593406595,1309.6593406593406,483.2522175824208,7.445054945054945,35.21978021978022,76.44505494505495,42.214285714285715,218.57858791208795,221.50529670329666,98.55449450549452,2.0416937362637366,2246.527637362638,14860.064835164834,13506.941648351647,150.69578571428573,183.15001098901104,7.5,0.9142975989010987,16.274574175824178,0.9970323021978023,79.486389010989,61.10135274725275,1.0797693956043952,435.5976678141519,2254.6144005757233,2.0605605174101647,9.603672476221012,19.334634287414982,9.84572076275868,57.26261383279334,47.69738955366112,19.27704545670012,0.31673882257099945,735.2309114561127,5429.5615600718675,30722.72395016927,34.78336137996398,40.78775634538627,1.8029957434208355,0.010670983321620612,3.7275635578656443,0.019818382713407547,6.731486241639702,4.491102102188374,0.025853163078194925,437.65419671569765,2186.1759444323543,1.621874701431715,10.243277408040134,20.81957136017018,10.629687949649913,53.63367517926747,46.14295310764857,17.71289177129091,0.23046189389508315,803.5343098754919,6358.117179138654,32197.698423906913,32.61853388339147,37.13605831269952,1.6964494032951822,0.00919446136879653,3.610337280479997,0.016312012439755226,5.971952669735524,3.9914165214288095,0.018197757764264782,420.85634180746337,2217.8036601438116,1.7085577892391344,9.993111180321728,20.113214361245,10.23206910137134,52.04497134239843,47.14847860459186,16.97880747521819,0.20605271987014687,769.7616873885712,6047.997975294589,30671.768506712706,32.0823339770887,35.825327099613794,1.7575235101952091,0.008913692249760656,3.6378878026981742,0.01618156442819338,5.777932251746018,3.7914008280534777,0.018664201188894638
SMFG,1462.2,12.5664,9.2,33.4,74.4,42.0,257.1424,246.65539999999996,135.9974,1.998538,2724.5880000000006,17119.1,8559.560000000001,157.012,187.87780000000004,7.0,0.9032028000000001,18.59176,1.0,73.47459999999998,58.394940000000005,1.07818,1494.4666666666667,12.5664,8.633333333333335,34.166666666666664,75.3,42.13333333333333,247.4197333333333,250.57930000000002,128.38373333333334,1.998525,2691.4723333333327,16911.020333333337,8455.513333333334,158.91146666666668,196.32613333333333,6.866666666666665,0.9062185333333334,19.01743,1.0,72.54754666666668,58.29242333333334,1.0763099999999999,1498.5,12.5664,8.4,34.1,74.8,42.2,240.638,250.3469,129.39870000000002,1.9985700000000002,2640.09,16588.18,8294.092,158.1628,193.7665,6.9,0.9056696000000001,19.08525,1.0,72.56838,58.384260000000005,1.070383,385.84608330265576,0.0,1.6431676725154982,8.264381404557755,15.725775020646836,7.516648189186454,29.36987113182487,35.02502262383282,10.651808944963292,0.0004654782486863033,520.3425976892532,3269.3841568405505,1634.7088283697499,15.078062309196104,12.566951766438834,1.224744871391589,0.007061704199412467,3.2697594266245336,0.0,7.958435794802896,1.4223673323020374,0.030056642360716222,422.31007236652795,0.0,1.4404860290887929,9.841804260963086,20.013328891849387,10.213961033800746,43.9831912170244,46.31895342282802,20.606210154681264,0.0005497120458321819,812.9532052061791,5107.929392303861,2553.9668152669333,22.344222102829086,27.309302345588712,0.8771798244627178,0.008705290538900326,3.1274745820398864,0.0,6.772763039408083,1.2794257036090626,0.01359742081344027,390.28114866080836,0.0,1.51657508881031,9.303225247192502,18.700267377767624,9.317993346209258,37.29042540150219,43.924124626166424,15.399579814072847,0.0004689749460258945,734.4685341796475,4614.78959347011,2307.3959500825817,20.3082271832132,27.381357277808558,0.6519202405202649,0.008976657085184815,2.9618183388756307,0.0,6.170141939676112,1.469041644831758,0.014179742857329956
SMIFG,1417.4,12.5664,5.6,47.6,100.0,53.4,225.36939999999998,208.83859999999999,87.1778,1.998564,2340.7799999999997,14707.539999999999,7353.776,142.5442,177.4726,9.2,0.9172342,13.889100000000003,1.0,79.67616000000001,58.434720000000006,1.1021779999999999,1419.0666666666666,12.5664,6.766666666666666,44.33333333333333,94.13333333333334,50.8,221.2153,211.65080000000003,91.9918,1.9985166666666667,2295.3353333333334,14422.013666666666,7211.006333333333,146.34376666666665,177.97966666666667,8.799999999999999,0.9152821666666668,14.521896333333334,1.0,77.65553666666668,57.70184666666667,1.087047,1421.3,12.5664,6.7,44.9,95.4,51.5,223.68449999999999,212.94520000000003,90.9789,1.998556,2299.585,14448.720000000001,7224.354000000001,143.48360000000002,176.7892,8.6,0.9148797999999999,14.349189999999998,1.0,77.62145999999998,58.25883,1.089318,220.72109097229472,0.0,0.8944271909999159,13.520355024924458,27.08320512790168,13.685759021698432,56.10291486010331,38.57324510330963,12.507420365527018,0.00020525593779473472,536.1308574872369,3368.6108892242214,1684.3093542250488,31.98819575562212,42.018153169790786,2.280350850198276,0.0059541894242625786,3.918779802438509,0.0,8.089765050852842,2.8966864944277266,0.027615643573887634,261.64125672802857,0.0,0.49441323247304464,12.058883309273154,24.28945816146952,12.24484018315924,46.60942477585525,32.1930733259846,8.735989355502008,0.0002596846378036287,568.5399418434812,3572.2435175648206,1786.1206697257014,30.976682045756426,38.75446876615936,1.634693311365229,0.006944628794775267,2.5990763387746667,0.0,4.933707270757742,2.230347090869493,0.015201448185763331,256.06849669570835,0.0,0.5700877125495689,12.121262310502154,24.918366720152427,12.58471294865322,51.19329947854503,30.56108215443296,7.441578364164419,0.00023236286278148258,513.1790407840132,3224.409212863653,1612.1983296589165,30.06824980440333,38.17279087681435,1.51657508881031,0.005716345495594184,2.675337462919397,0.0,5.021212966181589,2.094391606350158,0.01661069632796886
