,Orientation,BrainRgn,Age,Sex,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,mean_Nodes,mean_SomaSurface,mean_Stems,mean_Bifurcations,mean_Branches,mean_Tips,mean_OverallWidth,mean_OverallHeight,mean_OverallDepth,mean_AverageDiameter,mean_Length,mean_Surface,mean_Volume,mean_MaxEuclideanDistance,mean_MaxPathDistance,mean_MaxBranchOrder,mean_AverageContraction,mean_AverageFragmentation,mean_AverageParent-daughterRatio,mean_AverageBifurcationAngleLocal,mean_AverageBifurcationAngleRemote,mean_HausdorffDimension,median_Nodes,median_SomaSurface,median_Stems,median_Bifurcations,median_Branches,median_Tips,median_OverallWidth,median_OverallHeight,median_OverallDepth,median_AverageDiameter,median_Length,median_Surface,median_Volume,median_MaxEuclideanDistance,median_MaxPathDistance,median_MaxBranchOrder,median_AverageContraction,median_AverageFragmentation,median_AverageParent-daughterRatio,median_AverageBifurcationAngleLocal,median_AverageBifurcationAngleRemote,median_HausdorffDimension
00005_P001_T01-S001_MFG_R0460_WY-20220415_LJ_stamp_2022_08_10_09_53,B,MFG,49,M,1749,12.5664,8,40,86,47,223.1,230.92,104.0,1.9988599999999999,2539.8,15958.0,7979.01,140.56,161.173,5,0.91369,19.3256,1.0,88.3595,60.3844,1.06136,1540.0,12.5664,9.166666666666666,33.333333333333336,74.16666666666667,41.833333333333336,199.06650000000002,207.1341666666667,93.16666666666667,1.998685,2255.35,14170.766666666668,7085.388333333333,137.82266666666666,161.86233333333334,5.333333333333333,0.9096961666666666,19.73515,1.0,89.09388333333334,61.01399999999999,1.081835,1462.0,12.5664,9.0,31.5,71.5,41.0,194.92950000000002,211.60000000000002,96.0,1.9986350000000002,2165.125,13603.900000000001,6801.945,140.0985,161.6405,5.0,0.910777,19.720750000000002,1.0,89.16125,60.4868,1.0633400000000002
00006_P001_T01-S001_MFG_R0460_WY-20220415_LJ_stamp_2022_08_10_10_54,B,MFG,49,M,1777,12.5664,8,31,68,38,213.9,223.56,107.333,1.9988700000000001,2452.2,15407.6,7703.82,137.156,181.17700000000002,7,0.9053180000000001,25.1176,1.0,75.3405,55.817,1.10491,1549.0,12.5664,8.166666666666666,29.5,65.16666666666667,36.666666666666664,204.0765,216.86266666666666,103.88883333333332,1.9986833333333334,2251.751666666667,14148.16666666667,7074.088333333333,139.12933333333334,173.96633333333338,6.833333333333333,0.9012901666666667,22.85381666666667,1.0,73.30413333333334,55.68053333333334,1.0930233333333335,1589.0,12.5664,8.0,31.5,68.5,38.0,204.0765,219.2185,108.1665,1.99874,2387.285,14999.75,7499.87,138.313,174.88150000000002,6.5,0.9025020000000001,22.492,1.0,75.54405,56.3176,1.089385
00008_P001_T01-S001_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_11_10_02,B,MFG,49,M,1639,12.5664,8,33,72,40,206.08,218.04,109.0,1.99878,2360.38,14830.7,7415.34,136.94899999999998,184.22799999999998,6,0.9030520000000001,21.75,1.0,76.2666,59.6023,1.07386,1563.0,12.5664,7.666666666666667,29.833333333333332,65.5,36.666666666666664,204.47,207.23,107.38883333333332,1.99871,2172.148333333333,13647.999999999998,6824.005,137.66116666666667,174.36133333333336,6.166666666666667,0.9007223333333333,22.883583333333334,1.0,75.91433333333335,59.54220000000001,1.0721666666666667,1583.0,12.5664,8.0,30.5,67.0,37.5,209.99,217.12,108.1665,1.998735,2171.615,13644.65,6822.33,137.0525,173.812,6.5,0.9029625,22.48865,1.0,76.00710000000001,58.21025,1.075535
00011_P001_T01-S002_MFG_R0460_WY-20220415_XJ_stamp_2022_08_31_14_28,B,MFG,49,M,1143,12.5664,10,37,82,46,164.22,149.96,87.0,2.0777200000000002,2208.47,16065.8,16137.4,121.641,145.138,7,0.884827,12.9268,1.23346,68.6457,74.3453,1.11178,1069.5,12.5664,9.666666666666666,31.666666666666668,71.83333333333333,41.166666666666664,172.2005,177.21866666666665,86.0,2.0689733333333336,1858.3133333333333,13365.288333333332,15628.514999999998,124.15466666666667,154.01916666666668,6.5,0.8910934999999999,14.089633333333332,1.1665699999999999,75.41088333333335,68.98821666666667,1.0823049999999999,1106.5,12.5664,9.5,33.5,74.5,42.0,175.5115,180.78,83.5,2.038115,1854.955,11720.55,11040.189999999999,123.6225,152.065,6.5,0.8903875,13.5632,1.11673,77.38194999999999,67.60005000000001,1.08656
00014_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_31_14_30,T,MFG,49,M,1309,25048.1,11,47,104,58,230.92,209.76,149.0,2.2421599999999997,2826.81,27808.3,50325.5,149.189,209.372,9,0.9325459999999999,11.5769,0.863606,69.6403,59.4337,1.1068200000000001,1660.6666666666667,15653.116666666669,9.666666666666666,45.666666666666664,99.16666666666667,54.5,237.87400000000002,232.68983333333335,139.7775,2.3431699999999998,3211.4833333333336,30474.88333333333,69315.78333333333,167.62366666666668,201.33433333333332,8.0,0.9208211666666667,15.707149999999999,0.8623451666666666,75.64828333333334,61.08336666666667,1.11146,1582.0,12868.0,10.5,44.5,97.0,53.5,234.82999999999998,233.91,132.83249999999998,2.2777399999999997,3056.385,30300.15,56923.6,163.65750000000003,203.07100000000003,8.0,0.9222325000000001,16.1236,0.8661585,75.15425,59.90935,1.102055
00015_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_31_14_31,T,MFG,49,M,736,12.5664,9,19,45,27,138.92,161.0,133.0,2.2179599999999997,1366.01,12633.5,34636.2,137.142,171.88299999999998,6,0.911386,15.3333,1.83247,68.0955,56.7848,1.0509700000000002,1036.5,12.5664,8.833333333333334,24.333333333333332,55.666666666666664,32.333333333333336,193.98766666666666,193.06633333333332,116.75999999999999,2.3104266666666664,1878.136666666667,17383.36666666667,37063.86666666667,141.8948333333333,178.70400000000004,6.0,0.9168655000000001,17.67768333333333,2.0116083333333337,69.73775,60.744949999999996,1.0682916666666669,962.5,12.5664,9.0,23.0,53.0,31.5,200.0,183.24,122.0,2.27615,1844.08,18205.85,33154.5,134.4395,171.4385,6.0,0.9183235000000001,17.1907,1.936795,71.5305,59.2757,1.06376
00023_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_32,A,MFG,49,M,1431,12.5664,10,42,92,51,234.14,232.148,128.0,2.09729,2641.48,19961.4,18657.3,158.362,186.08900000000003,10,0.924517,14.5435,1.1372200000000001,71.253,59.0839,1.12442,1067.0,12.5664,9.166666666666666,35.666666666666664,79.83333333333333,45.166666666666664,216.41083333333336,238.20583333333332,135.4955,2.069183333333333,2380.1783333333333,16737.316666666666,14834.226666666667,166.273,188.88699999999997,8.333333333333334,0.9282543333333333,12.243846666666665,1.068715,68.70183333333333,56.86156666666667,1.0950133333333334,1091.0,12.5664,9.5,35.0,79.5,45.5,209.3915,234.9805,135.5,2.047715,2447.665,16777.95,11657.400000000001,159.4115,184.976,8.0,0.925816,13.372800000000002,1.035425,68.789,58.0904,1.09209
00024_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_10_11_25,T,MFG,49,M,2135,12.5664,9,43,93,51,231.38,207.92,99.0,1.9990599999999998,2895.66,18194.0,9097.0,168.166,207.627,10,0.894497,21.9462,1.0,66.8152,60.9891,1.1295,1938.6666666666667,12.5664,8.166666666666666,42.166666666666664,90.83333333333333,49.666666666666664,231.84,219.42,94.65899999999999,1.9989633333333334,2725.103333333333,17122.333333333332,8561.17,159.14883333333333,190.74366666666666,9.166666666666666,0.8988951666666667,20.38918333333333,1.0,69.23551666666667,57.636983333333326,1.1174016666666666,1940.5,12.5664,8.5,42.5,91.5,50.0,233.45,225.86,92.0,1.998965,2715.33,17060.9,8530.465,161.738,189.7475,9.5,0.9010475,19.64085,1.0,68.86789999999999,57.4835,1.1224949999999998
00027_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_34,T,MFG,49,M,1330,5541.77,12,35,81,47,201.09799999999998,207.92,82.0,2.13556,2480.31,20107.0,22181.9,150.602,175.54,6,0.9149219999999999,15.4074,0.768099,58.5159,50.6683,1.14745,1239.6666666666667,3909.3560666666667,9.666666666666666,32.0,72.0,41.0,203.25716666666668,193.80100000000002,90.29333333333334,2.1744499999999998,2275.608333333333,18981.916666666668,27872.078333333327,139.75433333333334,169.63733333333332,6.0,0.9147344999999999,16.07945,0.8350586666666667,63.71083333333333,52.155449999999995,1.0994749999999998,1243.0,4213.38,9.5,30.5,68.0,38.5,205.42899999999997,199.9065,86.0,2.138355,2313.685,18618.9,23370.95,145.329,176.478,6.0,0.9158505,16.67285,0.8178665,63.46285,52.3862,1.0934949999999999
00029_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_35,T,MFG,49,M,1920,10399.2,13,56,123,68,233.21599999999998,233.22,110.0,2.2439299999999998,3313.36,29857.4,61554.5,161.626,196.77,8,0.9127770000000001,14.6016,0.829583,72.7305,57.5899,1.1433,1899.1666666666667,13674.921666666667,11.333333333333334,53.0,115.5,63.5,225.34399999999997,230.06866666666667,128.83333333333334,2.3927433333333332,3332.4616666666666,33532.98333333333,92904.8,159.51166666666666,201.5146666666667,8.166666666666666,0.9182808333333333,15.25591666666667,0.8658700000000001,71.83291666666668,58.0256,1.11416,1815.5,10854.45,11.0,52.5,115.0,62.5,232.06799999999998,229.31,115.5,2.267355,3202.3,31414.550000000003,63831.95,159.1815,203.07100000000003,8.0,0.916598,14.79145,0.8654495,72.04525000000001,58.7716,1.11962
