Distance_to_soma,Orientation,BrainRgn,Age,Sex,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,mean_Nodes,mean_SomaSurface,mean_Stems,mean_Bifurcations,mean_Branches,mean_Tips,mean_OverallWidth,mean_OverallHeight,mean_OverallDepth,mean_AverageDiameter,mean_Length,mean_Surface,mean_Volume,mean_MaxEuclideanDistance,mean_MaxPathDistance,mean_MaxBranchOrder,mean_AverageContraction,mean_AverageFragmentation,mean_AverageParent-daughterRatio,mean_AverageBifurcationAngleLocal,mean_AverageBifurcationAngleRemote,mean_HausdorffDimension,median_Nodes,median_SomaSurface,median_Stems,median_Bifurcations,median_Branches,median_Tips,median_OverallWidth,median_OverallHeight,median_OverallDepth,median_AverageDiameter,median_Length,median_Surface,median_Volume,median_MaxEuclideanDistance,median_MaxPathDistance,median_MaxBranchOrder,median_AverageContraction,median_AverageFragmentation,median_AverageParent-daughterRatio,median_AverageBifurcationAngleLocal,median_AverageBifurcationAngleRemote,median_HausdorffDimension,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,mean_0,mean_5,mean_10,mean_15,mean_20,mean_25,mean_30,mean_35,mean_40,mean_45,mean_50,mean_55,mean_60,mean_65,mean_70,mean_75,mean_80,mean_85,mean_90,mean_95,mean_100,mean_105,mean_110,mean_115,mean_120,mean_125,mean_130,mean_135,mean_140,mean_145,mean_150,mean_155,mean_160,mean_165,mean_170,mean_175,mean_180,mean_185,mean_190,mean_195,mean_200,mean_205,mean_210,mean_215,mean_220,mean_225,mean_230,mean_235,mean_240,mean_245,mean_250,mean_255,mean_260,mean_265,mean_270,mean_275,mean_280,mean_285,mean_290,mean_295,median_0,median_5,median_10,median_15,median_20,median_25,median_30,median_35,median_40,median_45,median_50,median_55,median_60,median_65,median_70,median_75,median_80,median_85,median_90,median_95,median_100,median_105,median_110,median_115,median_120,median_125,median_130,median_135,median_140,median_145,median_150,median_155,median_160,median_165,median_170,median_175,median_180,median_185,median_190,median_195,median_200,median_205,median_210,median_215,median_220,median_225,median_230,median_235,median_240,median_245,median_250,median_255,median_260,median_265,median_270,median_275,median_280,median_285,median_290,median_295
00005_P001_T01-S001_MFG_R0460_WY-20220415_LJ_stamp_2022_08_10_09_53,B,MFG,49,M,1749,12.5664,8,40,86,47,223.1,230.92,104,1.99886,2539.8,15958,7979.01,140.56,161.173,5,0.91369,19.3256,1,88.3595,60.3844,1.06136,1540,12.5664,9.166666667,33.33333333,74.16666667,41.83333333,199.0665,207.1341667,93.16666667,1.998685,2255.35,14170.76667,7085.388333,137.8226667,161.8623333,5.333333333,0.909696167,19.73515,1,89.09388333,61.014,1.081835,1462,12.5664,9,31.5,71.5,41,194.9295,211.6,96,1.998635,2165.125,13603.9,6801.945,140.0985,161.6405,5,0.910777,19.72075,1,89.16125,60.4868,1.06334,8,8,8,8,9,10,11,13,16,17,20,25,25,28,27,24,25,23,20,19,15,15,16,15,9,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9.333333333,9.333333333,10,12.66666667,15.66666667,17.83333333,20.66666667,23.5,26.16666667,29.66666667,32.16666667,33.16666667,32.5,31.83333333,31.33333333,29.33333333,26,24.66666667,22,20.16666667,18.16666667,16.66666667,11.16666667,7.333333333,4.5,3.5,2,1.5,0.833333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,11,12.5,16,19.5,21,27,27,30.5,32,32,31.5,30.5,29,25.5,23.5,21.5,20.5,17,15,11,7,4.5,4,2,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00006_P001_T01-S001_MFG_R0460_WY-20220415_LJ_stamp_2022_08_10_10_54,B,MFG,49,M,1777,12.5664,8,31,68,38,213.9,223.56,107.333,1.99887,2452.2,15407.6,7703.82,137.156,181.177,7,0.905318,25.1176,1,75.3405,55.817,1.10491,1549,12.5664,8.166666667,29.5,65.16666667,36.66666667,204.0765,216.8626667,103.8888333,1.998683333,2251.751667,14148.16667,7074.088333,139.1293333,173.9663333,6.833333333,0.901290167,22.85381667,1,73.30413333,55.68053333,1.093023333,1589,12.5664,8,31.5,68.5,38,204.0765,219.2185,108.1665,1.99874,2387.285,14999.75,7499.87,138.313,174.8815,6.5,0.902502,22.492,1,75.54405,56.3176,1.089385,8,8,8,8,9,10,13,16,18,23,22,25,25,25,25,22,20,17,14,14,13,13,11,8,6,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.666666667,8.666666667,8.833333333,8.833333333,9.833333333,11.5,15.16666667,18.16666667,21,25,26.66666667,29.16666667,30.33333333,27.66666667,27.33333333,25.66666667,24,20.5,18.16666667,16.83333333,15.33333333,13.33333333,11,9.333333333,7.166666667,5.666666667,4.166666667,3,1.333333333,0.833333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,10.5,11.5,16,17,21.5,24,27.5,29,31,27.5,27,24.5,24.5,21.5,18.5,17.5,15.5,14,11,9,7,5.5,4,2.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00008_P001_T01-S001_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_11_10_02,B,MFG,49,M,1639,12.5664,8,33,72,40,206.08,218.04,109,1.99878,2360.38,14830.7,7415.34,136.949,184.228,6,0.903052,21.75,1,76.2666,59.6023,1.07386,1563,12.5664,7.666666667,29.83333333,65.5,36.66666667,204.47,207.23,107.3888333,1.99871,2172.148333,13648,6824.005,137.6611667,174.3613333,6.166666667,0.900722333,22.88358333,1,75.91433333,59.5422,1.072166667,1583,12.5664,8,30.5,67,37.5,209.99,217.12,108.1665,1.998735,2171.615,13644.65,6822.33,137.0525,173.812,6.5,0.9029625,22.48865,1,76.0071,58.21025,1.075535,8,8,8,9,9,12,13,14,17,19,21,26,26,26,25,24,23,21,16,15,14,12,10,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.666666667,8.666666667,8.666666667,8.833333333,10.33333333,12.83333333,15.33333333,17.83333333,21.5,23.16666667,25.66666667,28,29.33333333,29,27.83333333,27,25,23.33333333,19.66666667,16.83333333,14.66666667,12.83333333,11,7.166666667,4.833333333,3.666666667,2,1.166666667,0.666666667,0.5,0.333333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,10,12.5,15,17.5,21,23.5,25,29,28.5,28,27,26,24.5,22.5,18,15.5,14.5,12.5,10,6.5,4,3,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00011_P001_T01-S002_MFG_R0460_WY-20220415_XJ_stamp_2022_08_31_14_28,B,MFG,49,M,1143,12.5664,10,37,82,46,164.22,149.96,87,2.07772,2208.47,16065.8,16137.4,121.641,145.138,7,0.884827,12.9268,1.23346,68.6457,74.3453,1.11178,1069.5,12.5664,9.666666667,31.66666667,71.83333333,41.16666667,172.2005,177.2186667,86,2.068973333,1858.313333,13365.28833,15628.515,124.1546667,154.0191667,6.5,0.8910935,14.08963333,1.16657,75.41088333,68.98821667,1.082305,1106.5,12.5664,9.5,33.5,74.5,42,175.5115,180.78,83.5,2.038115,1854.955,11720.55,11040.19,123.6225,152.065,6.5,0.8903875,13.5632,1.11673,77.38195,67.60005,1.08656,10,10,10,12,16,19,24,27,32,29,27,21,18,16,14,9,6,5,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.166666667,9.166666667,9.5,10.16666667,12.16666667,15.33333333,19.33333333,22,24,23.83333333,22.16666667,20.33333333,17.66666667,15,13,10,6.666666667,5,3.666666667,3.666666667,2.5,1.5,1,0.5,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,9.5,10.5,12.5,14.5,20,23.5,24.5,24.5,23.5,20.5,19,16,14.5,10,6.5,5,3.5,3,2,1.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00068_P003_T01-S000_S(M)TG_R0460_WY-20220513_XJ_stamp_2022_08_10_14_31,B,IPL,49,F,1999,12.5664,9,40,87,48,197.34,231.84,186,1.999,2773.32,17425.3,8712.63,149.772,187.398,7,0.899147,21.9655,1,89.4628,61.4765,1.09047,1996.5,12.5664,8.666666667,40.83333333,88.5,48.66666667,214.4221667,243.9366667,154.8333333,1.998991667,2976.128333,18699.56667,9349.786667,152.7526667,202.7081667,6.833333333,0.899794833,21.55768333,1,87.93563333,61.65351667,1.081476667,2016,12.5664,8.5,40.5,87.5,48,209.68,242.793,150,1.99901,2952.04,18548.25,9274.12,148.4665,205.096,7,0.9009885,21.67755,1,87.66755,61.8533,1.08828,9,9,9,9,10,11,12,15,22,27,24,21,25,24,24,23,19,19,21,19,20,17,15,15,11,5,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.833333333,9.833333333,9.833333333,10.16666667,11,13.16666667,16,18.5,23.5,25.83333333,27,27,28,28.5,28.16666667,25.83333333,24.5,23.33333333,22.66666667,21.5,20,18.5,16.5,14.66666667,12.16666667,9,6.666666667,4,2.333333333,1.166666667,0.666666667,0.5,0.333333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10.5,13,17,18.5,23.5,27,27.5,27.5,27,28,27.5,25,25,22.5,22,21,20,17.5,16,14.5,12.5,9,7.5,4.5,2,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00126_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_08_17_13,B,IPL,49,F,1751,2814.63,3,36,76,41,265.429,231.714,128,2.08754,2950.44,20475.8,15594,189.242,206.222,8,0.908487,22.0263,0.837943,74.9606,70.9254,1.06427,1591,948.7209333,5.333333333,33.5,71,38.5,263.686,244.7261667,122.9896667,2.043033333,2568.946667,17079.08333,11951.20667,176.6631667,209.564,8.5,0.912978333,21.4308,0.950605667,75.80538333,65.13638333,1.077636667,1599.5,12.5664,5.5,32.5,68.5,37,261.718,245.124,125.5,1.99882,2626.985,16771.35,8385.665,178.386,206.4755,8,0.913489,21.8827,1,75.8711,64.9829,1.068685,3,7,7,7,11,13,15,17,21,23,22,24,24,23,22,21,19,19,18,18,15,15,13,12,12,11,10,8,6,4,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.833333333,7.5,7.5,8.166666667,11,12.83333333,16,18,21.33333333,22.66666667,23.66666667,24,24.16666667,24.16666667,23.33333333,22,20.33333333,19.5,18.66666667,17.5,16.16666667,15.66666667,14.33333333,12.5,12.16666667,11,9.5,8,6.166666667,4.833333333,4.333333333,2.333333333,2,1,0.833333333,0.666666667,0.5,0.5,0.333333333,0.333333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.5,7.5,8.5,11.5,12.5,15.5,18,21.5,23,22.5,24.5,24,23.5,23,21.5,19.5,19,18.5,17.5,15.5,15.5,13.5,12.5,12,10.5,10,7.5,6,4,3.5,2,1,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00168_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_07_11_17_21,B,IPL,49,F,2423,3631.68,7,67,140,74,312.63,272.785,151,2.21942,4691.82,36891.2,46182.4,205.419,251.142,8,0.924197,16.3,0.94241,74.0788,55.524,1.09019,3100.666667,3721.738333,8.333333333,77.33333333,161.6666667,85.33333333,345.5556667,332.9206667,180.648,2.184623333,6589.06,50918.76667,67236.63333,215.3598333,259.293,7.833333333,0.928044167,18.06683333,0.930332167,66.64173333,52.30816667,1.089113333,2877,3631.68,8.5,73,153.5,81.5,345.102,335.7985,188,2.18863,6657.04,50502.2,66709.2,215.1275,251.763,8,0.9262505,18.0875,0.928045,67.296,51.96295,1.090785,7,7,8,8,9,12,14,16,16,19,22,25,28,28,32,32,37,33,36,36,33,32,30,30,28,26,23,21,18,16,11,11,11,9,9,7,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.166666667,9.166666667,9.333333333,9.5,10.16666667,12.16666667,14,16.16666667,18.83333333,22.5,25.16666667,28,31.16666667,34.5,35.33333333,37.33333333,39,38.83333333,41,39.83333333,39.16666667,37.16666667,36.66666667,35.5,32.16666667,29,25.83333333,23,20,18,15,13.83333333,11.5,9.166666667,7.666666667,5.666666667,4,3.5,2,1.666666667,1.666666667,1.333333333,0.666666667,0.333333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,9,10.5,11.5,13.5,16,19.5,20.5,23.5,27.5,31,33.5,35.5,38,38,39,43,41,39.5,37.5,36.5,35,31.5,29,25,22.5,19.5,17,13.5,12,11,9,6.5,4.5,4,3.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00178_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_12_17_08,B,IPL,49,F,1072,2463.01,6,19,42,24,308.339,244.587,128,2.30953,2017.29,17422.9,32386.9,196.577,221.293,5,0.931478,24.5,0.966415,48.1147,55.637,1.06018,1574,1432.566533,6.833333333,31.66666667,68.16666667,37.5,269.5518333,239.5853333,134.6666667,2.140938333,2620.103333,19319.76667,24657.73,175.3853333,206.1556667,6.166666667,0.921703833,22.3393,0.989897333,62.15913333,56.46828333,1.079515,1583,1237.7882,7,32.5,70,39,263.128,234.019,133,2.095315,2633.895,18593.35,21134.41,177.0635,208.7935,6,0.920345,21.94745,1,64.29845,56.232,1.08549,6,6,6,6,8,8,11,12,14,18,18,16,18,18,16,15,15,13,12,11,11,11,10,8,7,6,5,5,4,4,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.833333333,8.833333333,9,10.66666667,12.33333333,15.33333333,17.16666667,19.66666667,22.33333333,23.5,23.5,24.66666667,23.33333333,22.66666667,21.66666667,21.16666667,18.66666667,17.16666667,15.5,14.33333333,13.16666667,12.16666667,10.5,9.5,9,7.833333333,6.5,5.333333333,4.666666667,3.5,1.5,1.166666667,1,0.833333333,0.666666667,0.5,0.333333333,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9.5,11.5,12.5,15.5,17.5,20.5,23,23,23,23.5,22.5,23,20.5,20.5,18.5,17,15,13.5,12,11.5,10.5,10,9.5,8.5,7,5.5,4.5,3.5,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00184_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_11_15_26,B,IPL,49,F,2492,12.5664,11,49,109,61,309.565,313.243,123,1.9992,4036.58,25362.6,12681.3,190.977,225.113,8,0.900969,21.8532,1,84.2747,61.1916,1.09429,2868,12.5664,11.33333333,55.33333333,120.5,66.16666667,319.9338333,322.3088333,122.8333333,1.999281667,5056.478333,31770.8,15885.38333,197.624,242.8545,8.5,0.9088665,22.66388333,1,82.61761667,58.8286,1.10852,2561,12.5664,11.5,55,118,64,316.3555,322.3925,123.5,1.999215,4488.62,28202.8,14101.4,198.089,238.7885,8,0.90898,22.6182,1,82.0627,59.9569,1.100955,11,11,11,11,16,17,17,20,20,20,25,24,29,30,31,31,30,28,29,28,23,22,19,19,18,15,15,13,12,9,9,8,6,5,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,11.5,11.5,12.5,14.16666667,15.83333333,18.5,20.66666667,22.83333333,24,27.33333333,27.83333333,29.5,31.33333333,32.5,32,31.66666667,30.16666667,29.83333333,29.16666667,25.66666667,23.5,21.66666667,19.66666667,17.83333333,15.83333333,14.66666667,12.33333333,10.83333333,9.666666667,8.666666667,7.666666667,6.166666667,5.333333333,4.333333333,3.833333333,2.5,1.833333333,1.666666667,1,0.833333333,0.5,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,10.5,10.5,12,14,15.5,16.5,19.5,22,24.5,28.5,27,29,30,31.5,31.5,31,29.5,29,27.5,24.5,22,21,19,17,15,14.5,12.5,11,9,9,8,6,5,4,3.5,2,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00193_P003_T01-S003_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_08_23_10_50,B,IPL,49,F,2026,12.5664,8,36,78,43,269.72,309.974,111.778,1.99901,3251.28,20428.4,10214.2,206.67,242.328,7,0.911045,24.9615,1,69.5076,58.6723,1.09251,1860.333333,12.5664,7.833333333,34.83333333,75.66666667,41.83333333,276.5378333,295.1865,117.6296667,1.99891,3120.158333,19604.55,9802.263333,186.1138333,235.1811667,6.5,0.911144167,23.54976667,1,71.77833333,61.05068333,1.095556667,1917,12.5664,8,35.5,77.5,43,278.915,295.3425,121.889,1.998955,3227.945,20281.8,10140.9,184.379,234.0865,6.5,0.912328,23.2944,1,73.0718,60.4609,1.09696,8,8,8,9,9,9,9,13,17,21,22,24,25,24,22,24,24,25,24,22,19,17,17,15,11,10,11,11,11,10,10,8,7,7,6,5,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.166666667,9.166666667,9.333333333,10.33333333,11.16666667,12.33333333,14,17.83333333,20.33333333,23.33333333,27,28.66666667,29.83333333,31.33333333,32.16666667,32,31.16666667,29.83333333,28.5,27,24.83333333,23.83333333,21.66666667,20,17.16666667,15.83333333,15,14.33333333,13.16666667,11.33333333,10.16666667,9,8.333333333,7.166666667,5.5,4.5,3.5,3.166666667,2,1.5,1.166666667,0.666666667,0.5,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,9.5,10.5,12.5,14,18,21,24.5,27.5,27,27,29.5,32,32,32,31,27.5,26,24,22.5,20.5,19,17,15,14,13.5,13,11,9.5,8,8,7.5,6.5,4.5,4,3.5,2,1.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
