Name,BrainRgn,Age,Sex,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00005_P001_T01-S001_MFG_R0460_WY-20220415_LJ_stamp_2022_08_10_09_53.ano.eswc,MFG,49,M,1749,12.5664,8,40,86,47,223.1,230.92,104,1.99886,2539.8,15958,7979.01,140.56,161.173,5,0.91369,19.3256,1,88.3595,60.3844,1.06136
00006_P001_T01-S001_MFG_R0460_WY-20220415_LJ_stamp_2022_08_10_10_54.ano.eswc,MFG,49,M,1777,12.5664,8,31,68,38,213.9,223.56,107.333,1.99887,2452.2,15407.6,7703.82,137.156,181.177,7,0.905318,25.1176,1,75.3405,55.817,1.10491
00008_P001_T01-S001_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_11_10_02.ano.eswc,MFG,49,M,1639,12.5664,8,33,72,40,206.08,218.04,109,1.99878,2360.38,14830.7,7415.34,136.949,184.228,6,0.903052,21.75,1,76.2666,59.6023,1.07386
00011_P001_T01-S002_MFG_R0460_WY-20220415_XJ_stamp_2022_08_31_14_28.ano.eswc,MFG,49,M,1143,12.5664,10,37,82,46,164.22,149.96,87,2.07772,2208.47,16065.8,16137.4,121.641,145.138,7,0.884827,12.9268,1.23346,68.6457,74.3453,1.11178
00014_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_31_14_30.ano.eswc,MFG,49,M,1309,25048.1,11,47,104,58,230.92,209.76,149,2.24216,2826.81,27808.3,50325.5,149.189,209.372,9,0.932546,11.5769,0.863606,69.6403,59.4337,1.10682
00015_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_31_14_31.ano.eswc,MFG,49,M,736,12.5664,9,19,45,27,138.92,161,133,2.21796,1366.01,12633.5,34636.2,137.142,171.883,6,0.911386,15.3333,1.83247,68.0955,56.7848,1.05097
00023_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_32.ano.eswc,MFG,49,M,1431,12.5664,10,42,92,51,234.14,232.148,128,2.09729,2641.48,19961.4,18657.3,158.362,186.089,10,0.924517,14.5435,1.13722,71.253,59.0839,1.12442
00024_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_10_11_25.ano.eswc,MFG,49,M,2135,12.5664,9,43,93,51,231.38,207.92,99,1.99906,2895.66,18194,9097,168.166,207.627,10,0.894497,21.9462,1,66.8152,60.9891,1.1295
00027_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_34.ano.eswc,MFG,49,M,1330,5541.77,12,35,81,47,201.098,207.92,82,2.13556,2480.31,20107,22181.9,150.602,175.54,6,0.914922,15.4074,0.768099,58.5159,50.6683,1.14745
00029_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_35.ano.eswc,MFG,49,M,1920,10399.2,13,56,123,68,233.216,233.22,110,2.24393,3313.36,29857.4,61554.5,161.626,196.77,8,0.912777,14.6016,0.829583,72.7305,57.5899,1.1433
