Name,Stems,Branches,Length,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00005_P001_T01-S001_MFG_R0460_WY-20220415_LJ_stamp_2022_08_10_09_53.ano.eswc,8,86,2539.8,88.3595,60.3844,1.06136
00006_P001_T01-S001_MFG_R0460_WY-20220415_LJ_stamp_2022_08_10_10_54.ano.eswc,8,68,2452.2,75.3405,55.817,1.10491
00008_P001_T01-S001_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_11_10_02.ano.eswc,8,72,2360.38,76.2666,59.6023,1.07386
00011_P001_T01-S002_MFG_R0460_WY-20220415_XJ_stamp_2022_08_31_14_28.ano.eswc,10,82,2208.47,68.6457,74.3453,1.11178
00014_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_31_14_30.ano.eswc,11,104,2826.81,69.6403,59.4337,1.10682
00015_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_31_14_31.ano.eswc,9,45,1366.01,68.0955,56.7848,1.05097
00023_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_32.ano.eswc,10,92,2641.48,71.253,59.0839,1.12442
00024_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_10_11_25.ano.eswc,9,93,2895.66,66.8152,60.9891,1.1295
00027_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_34.ano.eswc,12,81,2480.31,58.5159,50.6683,1.14745
00029_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_35.ano.eswc,13,123,3313.36,72.7305,57.5899,1.1433
00030_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_36.ano.eswc,10,84,2480.15,71.0503,53.4545,1.0678
00031_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_39.ano.eswc,8,73,2079.22,64.2714,58.8277,1.08135
00040_P001_T01-S002_MFG_R0460_WY-20220415_XJ_stamp_2022_08_31_14_40.ano.eswc,10,64,1546.91,67.1209,57.1018,1.06382
00044_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_31_14_42.ano.eswc,8,133,2910.83,60.2769,55.6294,1.05736
